id	cartype	type	id
441	2	1	3624
441	2	1	3625
442	3	1	3633
467	6	9	3653
467	6	9	3654
467	6	9	3655
467	6	9	3656
467	6	9	3658
467	6	9	3657
467	6	9	3659
508	7	6	3695
508	7	6	3696
314	7	6	3702
314	7	6	3704
314	7	0	3706
314	7	6	3705
314	7	6	3707
314	7	6	3714
314	7	6	3716
314	7	1	3717
314	7	6	3733
314	7	1	3735
314	7	6	3737
191	5	中大型车	3790
191	5	中大型车	3791
191	5	中大型车	3792
191	5	中大型车	3793
191	5	中大型车	3794
191	5	中大型车	3796
191	5	中大型车	3797
191	5	中大型车	3798
191	5	中大型车	3799
191	5	中大型车	3795
191	5	4	3803
191	5	4	3805
191	5	1	3810
191	5	中大型车	3812
191	5	中大型车	3813
191	5	中大型车	3815
191	5	中大型车	3814
191	5	中大型车	3816
191	5	中大型车	3817
191	5	中大型车	3818
191	5	中大型车	3819
191	5	中大型车	3820
191	5	中大型车	3821
191	5	中大型车	3822
431	7	SUV	3833
431	7	SUV	3834
431	7	SUV	3835
431	7	SUV	3836
431	7	SUV	3837
431	7	SUV	3838
431	7	SUV	3840
431	7	SUV	3839
431	7	SUV	3841
431	7	SUV	3842
431	7	5	3846
684	7	5	3855
902	7	9	3859
227	9	跑车	3871
227	9	跑车	3872
228	9	跑车	3873
228	9	跑车	3874
228	9	跑车	3875
1132	3	9	3882
1132	3	9	3883
589	8	7	3918
589	8	2	3919
400	7	8	3921
400	7	2	3924
400	7	8	3925
400	7	2	3934
399	7	8	3937
399	7	8	3944
190	4	2	3997
190	4	2	3998
638	9	跑车	4000
638	9	跑车	4001
190	4	9	4003
190	4	2	4009
1127	7	4	4017
1127	7	4	4015
1127	7	4	4016
1127	7	2	4020
1127	7	4	4022
272	9	4	4024
272	9	4	4027
138	3	2	4056
138	3	4	4060
189	3	4	4084
189	3	4	4085
189	3	4	4086
189	3	4	4089
189	3	4	4087
189	3	4	4088
189	3	4	4090
189	3	4	4091
189	3	4	4092
189	3	4	4093
189	3	4	4094
189	3	4	4095
189	3	4	4096
189	3	4	4097
189	3	4	4098
189	3	4	4099
189	3	4	4100
189	3	4	4101
189	3	4	4102
189	3	4	4103
189	3	4	4104
189	3	4	4105
189	3	4	4106
189	3	4	4107
189	3	4	4108
189	3	4	4109
189	3	4	4110
189	3	4	4112
189	3	4	4111
189	3	4	4113
189	3	4	4114
189	3	4	4116
189	3	4	4115
189	3	4	4117
189	3	4	4118
189	3	4	4120
189	3	4	4119
189	3	4	4121
189	3	4	4122
189	3	4	4123
189	3	4	4124
189	3	4	4125
189	3	4	4126
189	3	4	4127
1126	3	4	4130
1126	3	4	4131
1126	3	4	4138
1126	3	4	4139
1126	3	4	4142
154	4	中型车	4143
154	4	中型车	4144
231	5	9	4157
231	5	9	4158
598	7	3	4168
598	7	2	4170
598	7	3	4172
231	5	7	4174
231	5	7	4173
231	5	7	4175
198	9	中大型车	4215
198	9	中大型车	4234
198	9	中大型车	4235
198	9	中大型车	4247
198	9	中大型车	4248
198	9	中大型车	4249
198	9	中大型车	4250
198	9	中大型车	4251
198	9	中大型车	4252
198	9	中大型车	4253
599	2	7	4269
48	2	8	4293
48	2	5	4294
274	8	MPV	4301
274	8	MPV	4300
274	8	MPV	4302
274	8	MPV	4303
274	8	MPV	4304
274	8	MPV	4305
274	8	2	4306
49	2	8	4310
49	2	8	4312
49	2	5	4313
117	4	3	4324
117	4	2	4322
117	4	2	4323
117	4	3	4325
1115	2	3	4326
1114	2	3	4346
601	3	8	4338
601	3	7	4339
601	3	2	4347
601	3	8	4353
24	2	3	4356
24	2	3	4358
24	2	3	4361
24	2	3	4369
24	2	3	4374
24	2	8	4371
24	2	7	4372
24	2	7	4373
